gensci,analsci,collsci,pynam,GL_pyscinam,N
FISH,GADIDAE,MERLUCCIUS ALBIDUS,MERLUCCIUS ALBIDUS,Gadiformes,10
FISH,GADIDAE,POLLACHIUS VIRENS,POLLACHIUS VIRENS,Gadiformes,13
FISH,GADIDAE,UROPHYCIS CHESTERI,UROPHYCIS CHESTERI,Gadiformes,7
FISH,MACROURIDAE,CAELORINCHUS CAELORHINCUS,CAELORINCHUS CAELORHINCUS,Gadiformes,1
FISH,MACROURIDAE,MACROURIDAE,MACROURIDAE,Gadiformes,9
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ACANTHOHAUSTORIUS MILLSI,Gammaridae,6
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ACANTHOHAUSTORIUS SPINOSUS,Gammaridae,4
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA ABDITA,Gammaridae,15
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA AGASSIZI,Gammaridae,234
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA ESCHRICHTI,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA MACROCEPHALA,Gammaridae,20
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA SPINIPES,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA VADORUM,Gammaridae,120
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCA VERRILLI,Gammaridae,2
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPELISCIDAE,Gammaridae,658
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPHILOCHIDAE,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPHIPOREIA GIGANTEA,Gammaridae,9
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPHIPOREIA LAWRENCIANA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AMPITHOE RUBRICATA,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ANONYX LILLJEBORGI,Gammaridae,6
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ANONYX SARSI,Gammaridae,78
ARTHROPODA,AMPHIPODA,GAMMARIDEA,AORIDAE,Gammaridae,116
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ARGISSA HAMATIPES,Gammaridae,6
ARTHROPODA,AMPHIPODA,GAMMARIDEA,ARRHIS PHYLLONYX,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,BATHYPOREIA PARKERI,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,BATHYPOREIA QUODDYENSIS,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,BYBLIS SERRATA,Gammaridae,593
ARTHROPODA,AMPHIPODA,GAMMARIDEA,CALLIOPIIDAE,Gammaridae,1
ARTHROPODA,AMPHIPODA,GAMMARIDEA,CALLIOPIUS LAEVIUSCULUS,Gammaridae,130
ARTHROPODA,AMPHIPODA,GAMMARIDEA,CASCO BIGELOWI,Gammaridae,77
ARTHROPODA,AMPHIPODA,GAMMARIDEA,COROPHIIDAE,Gammaridae,783
ARTHROPODA,AMPHIPODA,GAMMARIDEA,COROPHIUM ACUTUM,Gammaridae,5
